,year,state,report,farmtype,category,category_value,category2,category2_value,variable_id,variable_name,variable_sequence,variable_level,variable_group,variable_group_id,variable_unit,variable_description,variable_is_invalid,estimate,median,statistic,rse,unreliable_estimate,decimal_display,intervals_estimate,random_date,julian_date
0,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$1,000,000 or more",Operator Age,34 years or younger,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,12064424.0,,TOTAL,25.0,0,0,"(7671542.0, 13093219.25]",2011-09-21,15238.0
1,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$250,000 to $499,999",Operator Age,55 to 64 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,49199.0,,TOTAL,18.5,0,0,,2011-03-26,15059.0
2,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$100,000 to $249,999",Operator Age,55 to 64 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,36283.0,,TOTAL,12.1,0,0,,2011-10-09,15256.0
3,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"Less than $100,000",Operator Age,55 to 64 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,93172.0,,TOTAL,7.5,0,0,,2011-10-07,15254.0
4,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$100,000 to $249,999",Operator Age,65 years or older,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,42845.0,,TOTAL,17.6,0,0,,2011-04-12,15076.0
5,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"Less than $100,000",Operator Age,34 years or younger,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,8882.0,,TOTAL,26.1,0,0,,2011-03-27,15060.0
6,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$250,000 to $499,999",Operator Age,35 to 44 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,13146.0,,TOTAL,15.7,0,0,,2011-06-23,15148.0
7,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$100,000 to $249,999",Operator Age,35 to 44 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,16365.0,,TOTAL,16.8,0,0,,2011-02-09,15014.0
8,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"Less than $100,000",Operator Age,35 to 44 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,35078.0,,TOTAL,28.3,0,0,,2011-04-13,15077.0
9,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$1,000,000 or more",Operator Age,45 to 54 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,39116.0,,TOTAL,12.9,0,0,,2011-08-27,15213.0
10,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$500,000 to $999,999",Operator Age,45 to 54 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,33767.0,,TOTAL,13.3,0,0,,2011-04-13,15077.0
11,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$1,000,000 or more",Operator Age,34 years or younger,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,14193.0,,TOTAL,40.7,0,0,,2011-05-16,15110.0
12,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$250,000 to $499,999",Operator Age,45 to 54 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,39164.0,,TOTAL,13.6,0,0,,2011-12-12,15320.0
13,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"Less than $100,000",Operator Age,45 to 54 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,63148.0,,TOTAL,13.7,0,0,,2011-02-14,15019.0
14,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$1,000,000 or more",Operator Age,65 years or older,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,24425.0,,TOTAL,31.9,0,0,,2011-04-17,15081.0
15,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$500,000 to $999,999",Operator Age,65 years or older,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,27222.0,,TOTAL,16.9,0,0,,2011-03-17,15050.0
16,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$250,000 to $499,999",Operator Age,65 years or older,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,28830.0,,TOTAL,14.9,0,0,,2011-10-29,15276.0
17,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$100,000 to $249,999",Operator Age,34 years or younger,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,4313.0,,TOTAL,20.3,0,0,,2011-06-10,15135.0
18,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$500,000 to $999,999",Operator Age,35 to 44 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,15830.0,,TOTAL,17.5,0,0,,2011-02-04,15009.0
19,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$250,000 to $499,999",Operator Age,34 years or younger,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,8886.0,,TOTAL,37.4,0,0,,2011-10-06,15253.0
20,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$1,000,000 or more",Operator Age,35 to 44 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,29846.0,,TOTAL,43.5,0,0,,2011-09-27,15244.0
21,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$500,000 to $999,999",Operator Age,34 years or younger,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,5012.0,,TOTAL,29.3,0,0,,2011-08-08,15194.0
22,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$1,000,000 or more",Operator Age,55 to 64 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,68939.0,,TOTAL,20.2,0,0,,2011-01-05,14979.0
23,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$100,000 to $249,999",Operator Age,45 to 54 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,21450.0,,TOTAL,15.3,0,0,,2011-09-25,15242.0
24,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$500,000 to $999,999",Operator Age,55 to 64 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,66079.0,,TOTAL,19.8,0,0,,2011-12-02,15310.0
25,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"Less than $100,000",Operator Age,65 years or older,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,116635.0,,TOTAL,6.3,0,0,,2011-05-23,15117.0
26,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"Less than $100,000",Operator Age,35 to 44 years old,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,2747102.0,,TOTAL,15.2,0,0,"(0.0, 3607745.75]",2011-03-30,15063.0
27,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"Less than $100,000",Operator Age,34 years or younger,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,1672735.0,,TOTAL,17.7,0,0,"(0.0, 3607745.75]",2011-05-02,15096.0
28,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$500,000 to $999,999",Operator Age,35 to 44 years old,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,9149806.0,,TOTAL,10.5,0,0,"(7671542.0, 13093219.25]",2011-09-29,15246.0
29,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$250,000 to $499,999",Operator Age,65 years or older,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,7200786.0,,TOTAL,6.1,0,0,"(3607745.75, 7671542.0]",2011-12-21,15329.0
30,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$250,000 to $499,999",Operator Age,34 years or younger,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,2575790.0,,TOTAL,17.0,0,0,"(0.0, 3607745.75]",2011-02-14,15019.0
31,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$1,000,000 or more",Operator Age,65 years or older,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,22694939.0,,TOTAL,15.0,0,0,"(13093219.25, 114480641.0]",2011-06-10,15135.0
32,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$100,000 to $249,999",Operator Age,45 to 54 years old,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,6128126.0,,TOTAL,8.2,0,0,"(3607745.75, 7671542.0]",2011-07-25,15180.0
33,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$500,000 to $999,999",Operator Age,34 years or younger,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,3074959.0,,TOTAL,23.4,0,0,"(0.0, 3607745.75]",2011-03-04,15037.0
34,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"Less than $100,000",Operator Age,65 years or older,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,8689000.0,,TOTAL,5.3,0,0,"(7671542.0, 13093219.25]",2011-03-19,15052.0
35,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$100,000 to $249,999",Operator Age,65 years or older,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,7455703.0,,TOTAL,13.8,0,0,"(3607745.75, 7671542.0]",2011-10-18,15265.0
36,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"Less than $100,000",Operator Age,55 to 64 years old,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,7561417.0,,TOTAL,5.8,0,0,"(3607745.75, 7671542.0]",2011-01-30,15004.0
37,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$1,000,000 or more",Operator Age,35 to 44 years old,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,24909670.0,,TOTAL,10.4,0,0,"(13093219.25, 114480641.0]",2011-02-14,15019.0
38,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$1,000,000 or more",Operator Age,45 to 54 years old,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,49631917.0,,TOTAL,8.1,0,0,"(13093219.25, 114480641.0]",2011-02-03,15008.0
39,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$250,000 to $499,999",Operator Age,45 to 54 years old,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,13198610.0,,TOTAL,7.9,0,0,"(13093219.25, 114480641.0]",2011-11-15,15293.0
40,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$250,000 to $499,999",Operator Age,35 to 44 years old,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,5085207.0,,TOTAL,14.8,0,0,"(3607745.75, 7671542.0]",2011-08-09,15195.0
41,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$100,000 to $249,999",Operator Age,34 years or younger,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,2274617.0,,TOTAL,20.6,0,0,"(0.0, 3607745.75]",2011-11-07,15285.0
42,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$500,000 to $999,999",Operator Age,45 to 54 years old,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,17073633.0,,TOTAL,6.6,0,0,"(13093219.25, 114480641.0]",2011-01-25,14999.0
43,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$1,000,000 or more",Operator Age,55 to 64 years old,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,69278321.0,,TOTAL,7.0,0,0,"(13093219.25, 114480641.0]",2011-12-10,15318.0
44,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$500,000 to $999,999",Operator Age,55 to 64 years old,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,22387587.0,,TOTAL,6.3,0,0,"(13093219.25, 114480641.0]",2011-03-14,15047.0
45,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$250,000 to $499,999",Operator Age,55 to 64 years old,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,13277705.0,,TOTAL,6.2,0,0,"(13093219.25, 114480641.0]",2011-05-30,15124.0
46,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$100,000 to $249,999",Operator Age,55 to 64 years old,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,7686109.0,,TOTAL,6.8,0,0,"(7671542.0, 13093219.25]",2011-05-29,15123.0
47,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$100,000 to $249,999",Operator Age,35 to 44 years old,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,4111804.0,,TOTAL,14.9,0,0,"(3607745.75, 7671542.0]",2011-11-18,15296.0
48,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"Less than $100,000",Operator Age,45 to 54 years old,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,4761009.0,,TOTAL,8.7,0,0,"(3607745.75, 7671542.0]",2011-09-23,15240.0
49,2011,All survey states,Structural Characteristics,All Farms,Economic Class,"$500,000 to $999,999",Operator Age,65 years or older,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,10568181.0,,TOTAL,11.8,0,0,"(7671542.0, 13093219.25]",2011-04-28,15092.0
50,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"Less than $100,000",Operator Age,34 years or younger,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,6850.0,,TOTAL,11.2,0,0,,2012-02-02,15372.0
51,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$100,000 to $249,999",Operator Age,35 to 44 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,10206.0,,TOTAL,18.6,0,0,,2012-08-10,15562.0
52,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"Less than $100,000",Operator Age,65 years or older,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,105726.0,,TOTAL,3.0,0,0,,2012-03-27,15426.0
53,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"Less than $100,000",Operator Age,35 to 44 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,20454.0,,TOTAL,11.9,0,0,,2012-08-04,15556.0
54,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"Less than $100,000",Operator Age,45 to 54 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,62876.0,,TOTAL,11.7,0,0,,2012-08-13,15565.0
55,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$1,000,000 or more",Operator Age,35 to 44 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,20975.0,,TOTAL,14.4,0,0,,2012-02-08,15378.0
56,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$1,000,000 or more",Operator Age,55 to 64 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,74462.0,,TOTAL,7.9,0,0,,2012-09-20,15603.0
57,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$250,000 to $499,999",Operator Age,55 to 64 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,45828.0,,TOTAL,11.2,0,0,,2012-02-13,15383.0
58,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$250,000 to $499,999",Operator Age,34 years or younger,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,4035.0,,TOTAL,17.1,0,0,,2012-02-06,15376.0
59,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$500,000 to $999,999",Operator Age,45 to 54 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,33510.0,,TOTAL,18.5,0,0,,2012-09-16,15599.0
60,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$500,000 to $999,999",Operator Age,55 to 64 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,42028.0,,TOTAL,10.8,0,0,,2012-10-04,15617.0
61,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$1,000,000 or more",Operator Age,34 years or younger,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,5811.0,,TOTAL,16.5,0,0,,2012-03-07,15406.0
62,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$100,000 to $249,999",Operator Age,65 years or older,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,35836.0,,TOTAL,11.5,0,0,,2012-01-09,15348.0
63,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$1,000,000 or more",Operator Age,65 years or older,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,39312.0,,TOTAL,14.5,0,0,,2012-12-05,15679.0
64,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"Less than $100,000",Operator Age,55 to 64 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,120350.0,,TOTAL,9.1,0,0,,2012-05-21,15481.0
65,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$500,000 to $999,999",Operator Age,34 years or younger,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,5271.0,,TOTAL,23.2,0,0,,2012-10-23,15636.0
66,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$100,000 to $249,999",Operator Age,55 to 64 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,38094.0,,TOTAL,5.8,0,0,,2012-12-25,15699.0
67,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$250,000 to $499,999",Operator Age,45 to 54 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,32065.0,,TOTAL,14.6,0,0,,2012-07-15,15536.0
68,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$250,000 to $499,999",Operator Age,35 to 44 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,12099.0,,TOTAL,18.2,0,0,,2012-09-11,15594.0
69,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$500,000 to $999,999",Operator Age,35 to 44 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,11520.0,,TOTAL,23.1,0,0,,2012-04-24,15454.0
70,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$1,000,000 or more",Operator Age,45 to 54 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,53144.0,,TOTAL,9.8,0,0,,2012-10-05,15618.0
71,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$250,000 to $499,999",Operator Age,65 years or older,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,23142.0,,TOTAL,9.6,0,0,,2012-07-24,15545.0
72,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$100,000 to $249,999",Operator Age,35 to 44 years old,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,2681946.0,,TOTAL,8.5,0,0,"(0.0, 3607745.75]",2012-07-09,15530.0
73,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$100,000 to $249,999",Operator Age,34 years or younger,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,12137.0,,TOTAL,47.1,0,0,,2012-03-19,15418.0
74,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$250,000 to $499,999",Operator Age,65 years or older,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,6634716.0,,TOTAL,6.9,0,0,"(3607745.75, 7671542.0]",2012-06-09,15500.0
75,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$250,000 to $499,999",Operator Age,45 to 54 years old,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,8659304.0,,TOTAL,6.9,0,0,"(7671542.0, 13093219.25]",2012-04-29,15459.0
76,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"Less than $100,000",Operator Age,45 to 54 years old,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,5207467.0,,TOTAL,6.3,0,0,"(3607745.75, 7671542.0]",2012-08-26,15578.0
77,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$1,000,000 or more",Operator Age,55 to 64 years old,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,86641726.0,,TOTAL,5.6,0,0,"(13093219.25, 114480641.0]",2012-10-31,15644.0
78,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"Less than $100,000",Operator Age,55 to 64 years old,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,9454143.0,,TOTAL,5.3,0,0,"(7671542.0, 13093219.25]",2012-09-24,15607.0
79,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$500,000 to $999,999",Operator Age,35 to 44 years old,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,5978860.0,,TOTAL,13.1,0,0,"(3607745.75, 7671542.0]",2012-12-19,15693.0
80,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$500,000 to $999,999",Operator Age,55 to 64 years old,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,18600656.0,,TOTAL,5.2,0,0,"(13093219.25, 114480641.0]",2012-04-05,15435.0
81,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$500,000 to $999,999",Operator Age,34 years or younger,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,2826028.0,,TOTAL,17.5,0,0,"(0.0, 3607745.75]",2012-01-29,15368.0
82,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"Less than $100,000",Operator Age,35 to 44 years old,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,2097523.0,,TOTAL,6.9,0,0,"(0.0, 3607745.75]",2012-02-14,15384.0
83,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$250,000 to $499,999",Operator Age,55 to 64 years old,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,13818982.0,,TOTAL,5.7,0,0,"(13093219.25, 114480641.0]",2012-05-29,15489.0
84,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$500,000 to $999,999",Operator Age,45 to 54 years old,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,13558395.0,,TOTAL,6.2,0,0,"(13093219.25, 114480641.0]",2012-03-07,15406.0
85,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$100,000 to $249,999",Operator Age,45 to 54 years old,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,5220703.0,,TOTAL,7.5,0,0,"(3607745.75, 7671542.0]",2012-10-29,15642.0
86,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$500,000 to $999,999",Operator Age,65 years or older,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,26693.0,,TOTAL,20.0,0,0,,2012-04-04,15434.0
87,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$250,000 to $499,999",Operator Age,34 years or younger,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,2396309.0,,TOTAL,17.5,0,0,"(0.0, 3607745.75]",2012-03-31,15430.0
88,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$1,000,000 or more",Operator Age,65 years or older,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,39231354.0,,TOTAL,9.5,0,0,"(13093219.25, 114480641.0]",2012-05-05,15465.0
89,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$100,000 to $249,999",Operator Age,65 years or older,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,6408851.0,,TOTAL,5.4,0,0,"(3607745.75, 7671542.0]",2012-11-07,15651.0
90,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$1,000,000 or more",Operator Age,45 to 54 years old,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,71051899.0,,TOTAL,6.4,0,0,"(13093219.25, 114480641.0]",2012-12-26,15700.0
91,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$1,000,000 or more",Operator Age,34 years or younger,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,10835725.0,,TOTAL,18.5,0,0,"(7671542.0, 13093219.25]",2012-02-21,15391.0
92,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$250,000 to $499,999",Operator Age,35 to 44 years old,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,4349425.0,,TOTAL,10.7,0,0,"(3607745.75, 7671542.0]",2012-01-27,15366.0
93,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$100,000 to $249,999",Operator Age,34 years or younger,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,2039012.0,,TOTAL,18.1,0,0,"(0.0, 3607745.75]",2012-10-30,15643.0
94,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"Less than $100,000",Operator Age,65 years or older,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,9027996.0,,TOTAL,4.0,0,0,"(7671542.0, 13093219.25]",2012-12-26,15700.0
95,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$1,000,000 or more",Operator Age,35 to 44 years old,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,30132567.0,,TOTAL,7.9,0,0,"(13093219.25, 114480641.0]",2012-03-28,15427.0
96,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"Less than $100,000",Operator Age,34 years or younger,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,1264917.0,,TOTAL,12.6,0,0,"(0.0, 3607745.75]",2012-10-09,15622.0
97,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$500,000 to $999,999",Operator Age,65 years or older,vprodtot,Total value of production,20,1,,,"1,000 Dollars",Total value of production,False,9098222.0,,TOTAL,7.4,0,0,"(7671542.0, 13093219.25]",2012-11-15,15659.0
98,2012,All survey states,Structural Characteristics,All Farms,Economic Class,"$100,000 to $249,999",Operator Age,45 to 54 years old,tacres,Total acres operated,30,1,,,"1,000 Acres",Total acres operated,False,27993.0,,TOTAL,16.9,0,0,,2012-01-19,15358.0
